SquarespaceProductName,QuickBooksItem
"Horween Espresso Cavalier, 4-5 oz",Cavalier Espresso 4-5 oz
Onda Verde Swatch Books - Monroe Calf,Sample Book - Monroe Calf
"Horween Deep Blue Cypress, 4-5 oz & 5-6 oz - 4-5 oz (1.6-2.0 mm)",Cypress Autumn Breeze 5-6 oz
Horween Essex Leather Panels - 2’ Panel (12”x24”) - Black - 5-6 oz (2-2.4 mm),Panel Essex Black 5-6 oz
Horween Derby Leather Panels - 2’ Panel (12”x24”) - Black - 5-6 oz (2-2.4 mm),Panel Derby Black 5-6 oz
"Horween Cognac Illini Latigo, 4-5 oz",Aniline Latigo Cognac 3.5-4 oz
Horween Essex Leather Panels - 1’ Panel (12”x12”) - Black - 3-4 oz (1.2-1.6 mm),Panel Essex Black 3.5-4 oz
Horween Essex Leather Panels - 2’ Panel (12”x24”) - Natural - 5-6 oz (2-2.4 mm),Panel Essex Natural 5-6 oz
Horween Essex Leather Panels - 2’ Panel (12”x24”) - Brown Nut - 5-6 oz (2-2.4 mm),Panel Essex Brown Nut 5-6 oz
32mm Color 8 Cordovan Belt - Size 40 - Increase Pant Size by 2 for Belt Size - Brass,Commission
"Horween Rio Latigo with Oak Grain, 5-6 oz",Aniline Latigo Rio 5-6 oz
Horween • Illini Latigo - Burgundy - 5-6 oz (2.0 –  2.4 mm),Illini Latigo Burgundy 5-6 oz
Virgilio • Vachetta - Girasole - 3-4 oz (1.2-1.6 mm),Vachetta Box Girasole 3.5-4 oz
Virgilio • Vachetta - Fuxia - 3-4 oz (1.2-1.6 mm),Vachetta Alloro 3-3.5 oz
Virgilio • Vachetta - Cobalto - 3-4 oz (1.2-1.6 mm),Vachetta Box Cobalto 3.5-4 oz
Horween • Montana - Black - 5-6 oz (2.0 –  2.4 mm),Bison Montana Black 5-6 oz
"Horween Espresso Cavalier, 5-6 oz",Cavalier Espresso 4-5 oz
Virgilio • Vachetta - Olmo - 3-4 oz (1.2-1.6 mm),Vachetta Box Olmo 3.5-4 oz
Horween • Dublin - Golf Green - 5-6 oz (2.0 –  2.4 mm),Rockford Dublin Golf Green 5-6
Horween • Waxed Flesh Chromexcel® - Natural - 5-6 oz,*Natural Aniline Chrxl 4.5-5oz
Onda Verde Swatch Books - Metal Antique Calf,Sample Book - Metal Antique Cal
Les Rives Swatch Books - Master,Sample Book - Les Rives Master
30mm Bourbon Cordovan Belt - 40 - Increase Pant Size by 2 for Belt Size - Brass,Commission
Tusting & Burnett • Marsh - Flint,T & B Marsh Flint 4 oz
Leather Scrap Box - 4 Boxes (20lbs),Scrap Leather
Splenda • BOM - Garden - 3.4-3.6 mm (8.5-9 oz),"Splenda BOM - Garden, 8.5-9 oz"
Onda Verde • Monroe Calf - Side (12-15 square feet) - Vittoria (Blue),Monroe Calf Vittoria 2.5-3 oz
Conceria Walpier • Buttero - No Resin - #9 Red - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
Conceria Walpier • Buttero - No Resin - Black - 6.5-7 oz (2.6-2.8 mm),Buttero #100 Black (Res) 6.5-7
Virgilio • Smoked Matte - Seppia - 4-5 oz (1.6-2 mm),Smoked Matte  Alloro 4.5-5 oz
Tempesti • Elbamatt Liscio Lux - Piombo - 1.0  - 1.2 mm (2.5-3 oz),*Elbamatt Liscio 1.0-1.2..
"Horween Ink Washed Cavalier, 3-4 oz",Cavalier Ink 3.5-4 oz
Horween Essex Leather Panels - 1’ Panel (12”x12”) - English Tan - 3-4 oz (1.2-1.6 mm),Panel Essex English Tan 3.5-4
Tempesti • Maine Liscio - Fiesta - 1.8 - 2.0 (4.5-5 oz),Maine Eco Lux Avocado 4.5-5 oz
C.F. Stead • Rambler - Winter Smoke - 4.5-5oz (1.8-2 mm),Rambler Winter Smoke
Tusting & Burnett • Sokoto Dip Dye - Yellow Tan,T & B Sokoto Dip Yellow Tan 3-4
Tulliani Belts • Clark Street - 34 - Brown Rocky #7,Commission
Virgilio • Vachetta Box - Girasole - 4-5 oz (1.6-2 mm),Vachetta Box Girasole 3.5-4 oz
Saphir • Pâte de Luxe Wax Polish - Burgundy,Saphir Pate de Luxe
Tempesti • Maine Liscio - Violet - 1.8 - 2.0 (4.5-5 oz),Maine Eco Lux Avocado 4.5-5 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - Brown Nut - 5-6 oz (2-2.4 mm),Panel Dublin Brown Nut 5-6 oz
Virgilio • Smoked Matte - Castagna - 3-4 oz (1.2-1.6 mm),Smoked Matte Castagna 3-3.5 oz
Virgilio • Smoked Matte - Mandarino - 3-4 oz (1.2-1.6 mm),Smoked Matte  Alloro 3-3.5 oz
Virgilio • Vachetta Box - Girasole - 3-4 oz (1.2-1.6 mm),Vachetta Box Girasole 3.5-4 oz
Virgilio • Vachetta - Topo - 3-4 oz (1.2-1.6 mm),Vachetta Box Topo 3.5-4 oz
Virgilio • Vachetta Box - Mandarino - 3-4 oz (1.2-1.6 mm),Vachetta Alloro 3-3.5 oz
Virgilio • Margot Fog - Cobalto - 3-4 oz (1.2-1.6 mm),Margot Cobalto 3-3.5 oz
Virgilio • Vachetta Box - Cobalto - 4-5 oz (1.6-2 mm),Vachetta Box Cobalto 3.5-4 oz
Virgilio • Vachetta Box - Topo - 4-5 oz (1.6-2 mm),Vachetta Box Topo 3.5-4 oz
Virgilio • Vachetta Box - Seppia - 4-5 oz (1.6-2 mm),Vachetta Alloro 4.5-5 oz
Virgilio • Smoked Matte - Castagna - 4-5 oz (1.6-2 mm),Smoked Matte Castagna 4.5-5 oz
Virgilio • Smoked Matte - Turchese - 4-5 oz (1.6-2 mm),Smoked Matte  Alloro 4.5-5 oz
Virgilio • Margot - Castagna - 3-4 oz (1.2-1.6 mm),Margot Castagna 3-3.5 oz
Virgilio • Margot - Lilla - 3-4 oz (1.2-1.6 mm),Margot Fog Lilla 3-3.5 oz
Horween • Latigo - 5-6 oz (2.0 –  2.4 mm) - Rio,Aniline Latigo Rio 5-6 oz
Horween • Washed Chromexcel® - Brown Roughneck Print with Tipped Effect - 4-5 oz (1.6-2 mm),*Brown Chrxl 4-4.5oz.
Horween • Waxed Flesh Chromexcel® - 5-6 oz - Dark Brown,*Brown Chromexcel 5.5-6oz.
Horween • Chromepak - Black,Chromepak Black 10-15 oz
Horween Essex Leather Panels - Black - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Essex Black 3.5-4 oz
Conceria Walpier • Tuscany - Single Shoulder (7-8.5 sf) - Cognac #23 - 6.5-7 oz (2.6-2.8 mm),Tuscany #23 Cognac 6.5-7 oz
Horween Cavalier Chromexcel® Leather Panels - 2’ Panel (12”x24”) - Whiskey - 5-6 oz (2-2.4 mm),Panel Cavalier Whiskey 5-6 oz
Tempesti • Elbamatt Liscio - Navy - 1.8 - 2.0 (4.5-5 oz),Elbamatt Liscio Navy 4.5-5 oz
"Horween Black Waxed Flesh Chromexcel, 3-4 oz",*Black Chrxl 4-5 oz
Horween • Russet Horsehide Strips - 9+ oz - Hard Rolled Strips,Russet Strips HR 9 oz and up
Horween • Russet Horsehide Strips - 7-9 oz - Hard Rolled Strips,Russet Strips HR 7-9 oz
"Horween Lollipop Red Cavalier, 4-5 oz (1.6-2.0 mm)",Cavalier Lollipop Red 3.5-4 oz
"Horween Lollipop Red Cavalier, 4-5 oz",Cavalier Lollipop Red 3.5-4 oz
"Horween Brown Polished Latigo, 3-4 oz",Anil Latigo Italian Brown 3-3.5
Horween • Russet Horsehide Strips - 7-9 oz - Soft Rolled Strips,Russet Strips SR 7-9 oz
Splenda • Classic - Cognac - 3.5-4 oz (1.4-1.6mm),Splenda Classic Cognac 3.5-4 oz
Conceria Walpier • Buttero - No Resin - #23 Cognac - 3-3.5 oz (1.2-1.4 mm),Buttero #23 Cognac (Res) 3-3.5
"Horween Chromexcel® Leather Panels - Burgundy - 1' Panel (12""x12"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Burgundy 3.5-4 oz
Horween Dublin Leather Panels - Light Natural - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Lt Nat 3.5-4 oz
Horween Derby Leather Panels - Olde English - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Derby Olde Eng 5-6 oz
Horween Derby Leather Panels - English Tan - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Derby English T 3.5-4 oz
Horween Derby Leather Panels - Natural - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Derby Natural 3.5-4 oz
Horween Derby Leather Panels - Olde English - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Derby Olde Eng 3.5-4 oz
"Horween Chromexcel® Leather Panels - Navy - 2' Panel (12""x24"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Navy 5-6 oz
Horween Derby Leather Panels - Natural - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Derby Natural 5-6 oz
Horween Dublin Leather Panels - Olde English - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Olde Eng 3.5-4 oz
Horween • Russet Horsehide Strips Stained Bundles - Regular - 7-9oz - Soft Rolled Strips,Russet Strips SR 7-9 oz
Horween Dublin Leather Panels - Natural - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Dublin Natural 5-6 oz
Horween Dublin Leather Panels - Natural - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Dublin Natural 5-6 oz
Horween Dublin Leather Panels - English Tan - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Dublin English T 5-6 oz
Horween Dublin Leather Panels - Brown Nut - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Dublin Brown Nut 5-6 oz
Horween Dublin Leather Panels - Brown Nut - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Brown Nut 3.5-4 oz
Horween Dublin Leather Panels - Light Natural - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Lt Nat 3.5-4 oz
Horween Dublin Leather Panels - Olde English - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Olde Eng 3.5-4 oz
Horween Dublin Leather Panels - English Tan - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Dublin English T 3.5-4 oz
Arazzo Abilene Upholstery Leather - Mouse,Arazzo Abilene 1.3-1.5 mm
Horween • Washed Chromexcel® - Black - 4-5 oz (1.6-2 mm),*Black Chrxl 4-5 oz
"Horween Chromexcel® Leather Panels - Navy - 2' Panel (12""x24"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Navy 3.5-4 oz
Horween Dublin Leather Panels - Brown Nut - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Dublin Brown Nut 5-6 oz
Horween • Russet Horsehide Strips - 9+ oz - Soft Rolled Strips,Russet Strips SR 9 oz and up
32mm Color 8 Cordovan Belt - Size 38 - Brass - Increase Pant Size by 2 for Belt Size,Commission
32mm Color 8 Cordovan Belt - Size 34 - Brass - Increase Pant Size by 2 for Belt Size,Commission
Horween Dublin Leather Panels - Natural - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Natural 3.5-4 oz
Horween Dublin Leather Panels - Black - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Black 3.5-4 oz
"Horween Chromexcel® Leather Panels - Navy - 1' Panel (12""x12"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Navy 3.5-4 oz
Horween Dublin Leather Panels - English Tan - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Dublin English T 3.5-4 oz
Horween Dublin Leather Panels - Natural - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Natural 3.5-4 oz
Horween Dublin Leather Panels - Black - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Dublin Black 5-6 oz
Horween Dublin Leather Panels - Light Natural - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Dublin Lt Nat 5-6 oz
Italian Nubuck - 3.5 - 4 oz. - Blush,Italian Nubuck Aubergine
Virgilio • Margot - Siena - 4-5 oz (1.6-2 mm),Margot Fog Siena 4.5-5 oz
Italian Nubuck - 3.5 - 4 oz. - Aubergine,Italian Nubuck Aubergine
Horween • Russet Horsehide Strips Stained Bundles - Regular - 7-9oz - Hard Rolled Strips,Russet Strips HR 7-9 oz
"Horween Chromexcel® Leather Panels - Burgundy - 1' Panel (12""x12"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Burgundy 5-6 oz
"Conceria Walpier • Rocky, Belt Weight - Black",Commission
Horween Essex Leather Panels - Black - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Essex Black 5-6 oz
Horween Essex Leather Panels - Natural - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Essex Natural 5-6 oz
Horween Dublin Leather Panels - English Tan - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Dublin English T 5-6 oz
Horween Dublin Leather Panels - Olde English - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Dublin Olde Eng 5-6 oz
Horween Derby Leather Panels - English Tan - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Derby English T 3.5-4 oz
Tulliani Belts • Carroll Ave - Black Cypress - 32,Commission
Horween Essex Leather Panels - Natural - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Essex Natural 3.5-4 oz
Horween • Russet Horsehide Strips Stained Bundles - Regular - 9+ oz - Hard Rolled Strips,Russet Strips HR 9 oz and up
Horween • Montana - 4-5 oz (1.6 – 2 mm) - Chocolate,Bison Montana Black 5-6 oz
Horween Derby Leather Panels - Olde English - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Derby Olde Eng 3.5-4 oz
"Conceria Walpier • Rocky, Belt Weight - Cuoio",Commission
30mm Color 8 Cordovan Belt - Size 34 - Silver - Increase Pant Size by 2 for Belt Size,Commission
Horween Dublin Leather Panels - Black - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Black 3.5-4 oz
Horween • Latigo - 3-4 oz (1.2-1.6 mm) - Rio,Aniline Latigo Rio 3-3.5 oz
"Horween Chromexcel® Leather Panels - Black - 2' Panel (12""x24"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Black 3.5-4 oz
"Horween Chromexcel® Leather Panels - Natural - 2' Panel (12""x24"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Natural 3.5-4 oz
Tempesti • Elbamatt Liscio - Fiesta - 1.8 - 2.0 (4.5-5 oz),Elbamatt Liscio Ambra 4.5-5 oz
Virgilio • Margot - Topo - 4-5 oz (1.6-2 mm),Margot Fog Topo 4.5-5 oz
Horween • Russet Horsehide Strips Stained Bundles - Regular - 9+ oz - Soft Rolled Strips,Russet Strips SR 9 oz and up
Virgilio • Vachetta - Girasole - 4-5 oz (1.6-2 mm),Vachetta Box Girasole 3.5-4 oz
Horween • Cavalier Chromexcel® - 5-6 oz (2-2.4 mm) - Ink,*Ink Cavalier 5.5-6z
Horween • Waxed Flesh Chromexcel® - 5-6 oz - Black,*Black Beaufort Chrxl 5.5-6z
Conceria Walpier • Tuscany - Burgundy #5 - 3-3.5 oz (1.2-1.4 mm) - Double Shoulder (14-17 sf),Tuscany #5 Burgundy 3-3.5 oz
Horween • Cavalier Chromexcel® - 8-9 oz (3.2 –  3.6 mm) - London Bus Red,Cavalier London Bus Red 8-9 oz
"Horween Chromexcel® Leather Panels - Natural - 1' Panel (12""x12"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Natural 3.5-4 oz
"Horween Chromexcel® Leather Panels - Black - 1' Panel (12""x12"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Black 3.5-4 oz
"Horween Chromexcel® Leather Panels - Greener Pastures - 1' Panel (12""x12"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Greener P 5-6 oz
Leather Scrap Box - 5 Boxes (25lbs),Scrap Leather
Horween Dublin Leather Panels - Light Natural - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Dublin Lt Nat 5-6 oz
Horween • Cypress - Dark Sand - 8-9 oz (3.2-3.6 mm),Cypress Black 8-9 oz
Horween • Cypress - Black - 8-9 oz (3.2-3.6 mm),Cypress Black 8-9 oz
Horween Derby Leather Panels - Brown Nut - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Derby Brown Nut 3.5-4 oz
Horween Derby Leather Panels - Black - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Derby Black 5-6 oz
"Horween Chromexcel® Leather Panels - Greener Pastures - 2' Panel (12""x24"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Greener P 5-6 oz
"Horween Chromexcel® Leather Panels - Natural - 2' Panel (12""x24"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Natural 5-6 oz
"Horween Chromexcel® Leather Panels - Black - 2' Panel (12""x24"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Black 5-6 oz
"Horween Chromexcel® Leather Panels - Brown - 2' Panel (12""x24"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Brown 5-6 oz
Horween • Cavalier Chromexcel® - 4-5 oz (1.6-2 mm) - London Bus Red,Cavalier London Bus Red 3.5-4
Horween • Waxed Flesh Chromexcel® - 5-6 oz - Cinnamon,*Black Beaufort Chrxl 5.5-6z
30mm Black Cordovan Belt - Brass - Size 34 - Increase pant size by 2 for belt size,Commission
30mm Color 8 Cordovan Belt - Size 34 - Brass - Increase Pant Size by 2 for Belt Size,Commission
Horween Derby Leather Panels - Black - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Derby Black 3.5-4 oz
Italian Nubuck - 3.5 - 4 oz. - French Navy,Italian Nubuck French Navy
Tulliani Belts • LaSalle Street - Brown Chromexcel - 40,Commission
Intercom Ecostick 5020 • Water-Based Leather Glue - 1 Bag (5 kg),Ecostick 5020
Horween Dublin Leather Panels - Black - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Dublin Black 5-6 oz
Splenda • Classic - Natural - 4.5-5 oz (1.8-2 mm),Splenda Classic Natural 4.5-5
Splenda • Classic - Tan - 5-6 oz (2-2.4 mm),Splenda Classic Tan 4.5-5 oz
Tempesti • Elbamatt Liscio - Siena - 1.8 - 2.0 (4.5-5 oz),Elbamatt Liscio Siena 4.5-5 oz
Horween • Pinnacle Double Horsefronts - Brown,DHF Pinnacle Brown
Horween Essex Leather Panels - English Tan - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Essex English Tan 3.5-4
Horween Derby Leather Panels - Brown Nut - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Derby Brown Nut 5-6 oz
C.F. Stead • Crazy Cow - Ginger,Crazy Cow
Horween Dublin Leather Panels - Olde English - 1’ Panel (12”x12”) - 5-6 oz (2-2.4 mm),Panel Dublin Olde Eng 5-6 oz
Horween • Cypress - Dark Chestnut - 5-6 oz (2.0-2.4 mm),Cypress Dark Chestnut 5-6 oz
Horween Derby Leather Panels - Black - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Derby Black 3.5-4 oz
Horween Cavalier Chromexcel® Leather Panels - Ink - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Cavalier Ink 3.5-4 oz
Tempesti • Maine Eco Lux - Papaya - 1.0  - 1.2 mm (2.5-3 oz),*Maine Eco Lux 1.0-1.2mm
Horween Derby Leather Panels - English Tan - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Derby English T 5-6 oz
Italian Nubuck - 3.5 - 4 oz. - Taupe,Italian Nubuck Aubergine
Horween Essex Leather Panels - English Tan - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Essex English Tan 3.5-4
"Horween Chromexcel® Leather Panels - Greener Pastures - 2' Panel (12""x24"") - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Greener P 3.5-4 oz
Virgilio • Vachetta - Natural - 3-4 oz (1.2-1.6 mm),Vachetta Box Natural 3.5-4 oz
Horween Dublin Leather Panels - Russet Brown - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Russet Br 3.5-4 oz
Horween Cavalier Chromexcel® Leather Panels - Ink - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Cavalier Ink 3.5-4 oz
Virgilio • Smoked Mat - Lilla - 4-5 oz (1.6-2 mm),Smoked Matte Lilla 4.5-5 oz
Tempesti • Baku - Siena - 1.0  - 1.2 mm (2.5-3 oz),Baku Siena 4.5-5 oz (1.8-2 mm)
"Horween Chromexcel® Leather Panels - Black - 1' Panel (12""x12"") - 5-6 oz (2-2.4 mm)",Panel Chrxl Black 5-6 oz
C.F. Stead  Swatch Books - Kudu Waxy,Sample Book - All Stead
Horween Essex Leather Panels - Black - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Essex Black 3.5-4 oz
32mm Black Cordovan Belt - Size 36 - Silver - Increase Pant Size by 2 for Belt Size,Commission
Horween Essex Leather Panels - Natural - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Essex Natural 3.5-4 oz
C.F. Stead • Waxed Elk - 4.5-5oz (1.8-2 mm) - Polo Brown,Waxed Elk Polo Brown 4.5-5 oz
Horween Dublin Leather Panels - Russet Brown - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),Panel Dublin Russet Br 3.5-4 oz
Horween • Illini Latigo - Natural - 5-6 oz (2.0 –  2.4 mm),Aniline Latigo Natural 5-6 oz
Arazzo Lucca Upholstery Leather - Chalk,Arazzo Lucca 0.9-1.1 mm
Horween Essex Leather Panels - Brown Nut - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),Panel Essex Brown Nut 5-6 oz
Horween • Essex - Black - 4-5 oz (1.6 – 2 mm),*Black Essex 4-4.5oz
Horween • Cavalier Chromexcel® - 4-5 oz (1.6-2 mm) - Carolina Brown,*Carolina Brown Cavalier 4-4.5z
